node_id,date,discharge_avg,year,week
67.65088_23.93122,2022-01-23,2218.991,2022,3
67.65088_23.93122,2022-01-30,2176.317,2022,4
67.65088_23.93122,2022-02-06,1943.0201,2022,5
67.65088_23.93122,2022-02-13,1963.9197,2022,6
67.65088_23.93122,2022-02-20,1661.692,2022,7
67.65088_23.93122,2022-02-27,1395.7947,2022,8
67.65088_23.93122,2022-03-06,1216.6786,2022,9
67.65088_23.93122,2022-03-13,1436.9553,2022,10
67.65088_23.93122,2022-03-20,1569.7411,2022,11
67.65088_23.93122,2022-03-27,1445.9733,2022,12
67.65088_23.93122,2022-04-03,1409.5759,2022,13
67.65088_23.93122,2022-04-10,1577.0536,2022,14
67.65088_23.93122,2022-04-17,1486.442,2022,15
67.65088_23.93122,2022-04-24,1428.808,2022,16
67.65088_23.93122,2022-05-01,1357.6339,2022,17
67.65088_23.93122,2022-05-08,1382.3483,2022,18
67.65088_23.93122,2022-05-15,1469.9866,2022,19
67.65088_23.93122,2022-05-22,1483.1697,2022,20
67.65088_23.93122,2022-05-29,1612.4911,2022,21
67.65088_23.93122,2022-06-05,797.41516,2022,22
67.65088_23.93122,2022-06-12,154.34375,2022,23
67.65088_23.93122,2022-06-19,8.727678,2022,24
67.65088_23.93122,2022-06-26,1.5133928,2022,25
67.65088_23.93122,2022-07-03,1474.3549,2022,26
67.65088_23.93122,2022-07-10,7260.9976,2022,27
67.65088_23.93122,2022-07-17,11626.842,2022,28
67.65088_23.93122,2022-07-24,10110.189,2022,29
67.65088_23.93122,2022-07-31,11955.337,2022,30
67.65088_23.93122,2022-08-07,11282.359,2022,31
67.65088_23.93122,2022-08-14,9708.089,2022,32
67.65088_23.93122,2022-08-21,10055.58,2022,33
67.65088_23.93122,2022-08-28,20468.08,2022,34
67.65088_23.93122,2022-09-04,17741.592,2022,35
67.65088_23.93122,2022-09-11,10312.729,2022,36
67.65088_23.93122,2022-09-18,7951.366,2022,37
67.65088_23.93122,2022-09-25,6662.0156,2022,38
67.65088_23.93122,2022-10-02,5704.3716,2022,39
67.65088_23.93122,2022-10-09,5593.118,2022,40
67.65088_23.93122,2022-10-16,4483.414,2022,41
67.65088_23.93122,2022-10-23,4075.7935,2022,42
67.65088_23.93122,2022-10-30,3943.701,2022,43
67.65088_23.93122,2022-11-06,3576.9119,2022,44
67.65088_23.93122,2022-11-13,3297.345,2022,45
67.65088_23.93122,2022-11-20,3072.5547,2022,46
67.65088_23.93122,2022-11-27,2948.8772,2022,47
67.65088_23.93122,2022-12-04,2648.289,2022,48
67.65088_23.93122,2022-12-11,2272.7188,2022,49
