edge_id,from_node_id,to_node_id,river_name,length_km,wkt,edge_type
798,72.83949_30.71163,72.46049_30.61145,Spatial_Link,37.92437407645686,"LINESTRING (72.83949334151097 30.711627137645607, 72.46048641083372 30.611454248996232)",1
799,72.69793_30.59956,73.01871_30.81262,Spatial_Link,38.75273159309868,"LINESTRING (72.69792797662843 30.599564391335274, 73.01870690180922 30.812618821263342)",1
800,73.01871_30.81262,72.69793_30.59956,Spatial_Link,38.75273159309868,"LINESTRING (73.01870690180922 30.812618821263342, 72.69792797662843 30.599564391335274)",1
801,72.83949_30.71163,73.16151_30.92258,Spatial_Link,38.67610990795418,"LINESTRING (72.83949334151097 30.711627137645607, 73.16150595787589 30.922583844124933)",1
802,73.16151_30.92258,72.83949_30.71163,Spatial_Link,38.67610990795418,"LINESTRING (73.16150595787589 30.922583844124933, 72.83949334151097 30.711627137645607)",1
803,73.01871_30.81262,73.35896_31.02989,Spatial_Link,40.46115157057557,"LINESTRING (73.01870690180922 30.812618821263342, 73.35895704344405 31.02988609279236)",1
804,73.35896_31.02989,73.01871_30.81262,Spatial_Link,40.46115157057557,"LINESTRING (73.35895704344405 31.02988609279236, 73.01870690180922 30.812618821263342)",1
805,73.16151_30.92258,73.50549_31.12503,Spatial_Link,39.76342028919209,"LINESTRING (73.16150595787589 30.922583844124933, 73.50549138808488 31.125028514750777)",1
806,73.50549_31.12503,73.16151_30.92258,Spatial_Link,39.76342028919209,"LINESTRING (73.50549138808488 31.125028514750777, 73.16150595787589 30.922583844124933)",1
807,73.35896_31.02989,73.65411_31.18387,Spatial_Link,32.90552782994838,"LINESTRING (73.35895704344405 31.02988609279236, 73.65410695903934 31.183869398893453)",1
808,73.65411_31.18387,73.35896_31.02989,Spatial_Link,32.90552782994838,"LINESTRING (73.65410695903934 31.183869398893453, 73.35895704344405 31.02988609279236)",1
809,73.50549_31.12503,73.87728_31.24380,Spatial_Link,37.75271526527428,"LINESTRING (73.50549138808488 31.125028514750777, 73.87728055507793 31.24379676779885)",1
810,73.87728_31.24380,73.50549_31.12503,Spatial_Link,37.75271526527428,"LINESTRING (73.87728055507793 31.24379676779885, 73.50549138808488 31.125028514750777)",1
811,73.65411_31.18387,74.03486_31.39847,Spatial_Link,43.33985095953552,"LINESTRING (73.65410695903934 31.183869398893453, 74.03485546020183 31.39847334603099)",1
812,74.03486_31.39847,73.65411_31.18387,Spatial_Link,43.33985095953552,"LINESTRING (74.03485546020183 31.39847334603099, 73.65410695903934 31.183869398893453)",1
813,73.87728_31.24380,74.20188_31.49886,Spatial_Link,41.88225026978434,"LINESTRING (73.87728055507793 31.24379676779885, 74.20188172583812 31.4988635203402)",1
814,74.20188_31.49886,73.87728_31.24380,Spatial_Link,41.88225026978434,"LINESTRING (74.20188172583812 31.4988635203402, 73.87728055507793 31.24379676779885)",1
815,73.87728_31.24380,74.20329_31.49530,Spatial_Link,41.71483031018301,"LINESTRING (73.87728055507793 31.24379676779885, 74.20329286301033 31.495301959972807)",1
816,74.20329_31.49530,73.87728_31.24380,Spatial_Link,41.71483031018301,"LINESTRING (74.20329286301033 31.495301959972807, 73.87728055507793 31.24379676779885)",1
817,74.03486_31.39847,74.36937_31.67024,Spatial_Link,43.79802405724074,"LINESTRING (74.03485546020183 31.39847334603099, 74.36936887455408 31.670236940048213)",1
818,74.36937_31.67024,74.03486_31.39847,Spatial_Link,43.79802405724074,"LINESTRING (74.36936887455408 31.670236940048213, 74.03485546020183 31.39847334603099)",1
819,74.03486_31.39847,74.20329_31.49530,Spatial_Link,19.267512694064244,"LINESTRING (74.03485546020183 31.39847334603099, 74.20329286301033 31.495301959972807)",1
820,74.20329_31.49530,74.03486_31.39847,Spatial_Link,19.267512694064244,"LINESTRING (74.20329286301033 31.495301959972807, 74.03485546020183 31.39847334603099)",1
821,74.20188_31.49886,74.54377_31.81666,Spatial_Link,47.91508479363721,"LINESTRING (74.20188172583812 31.4988635203402, 74.54376626506158 31.816663568846717)",1
822,74.54377_31.81666,74.20188_31.49886,Spatial_Link,47.91508479363721,"LINESTRING (74.54376626506158 31.816663568846717, 74.20188172583812 31.4988635203402)",1
823,74.20188_31.49886,74.36937_31.67024,Spatial_Link,24.795603964435127,"LINESTRING (74.20188172583812 31.4988635203402, 74.36936887455408 31.670236940048213)",1
824,74.36937_31.67024,74.20188_31.49886,Spatial_Link,24.795603964435127,"LINESTRING (74.36936887455408 31.670236940048213, 74.20188172583812 31.4988635203402)",1
825,74.20188_31.49886,74.20329_31.49530,Spatial_Link,0.4180171233153193,"LINESTRING (74.20188172583812 31.4988635203402, 74.20329286301033 31.495301959972807)",1
